investor,host,year,position_mio_eur,income_mio_eur
AT,BE,2013,680.0,97.0
AT,BE,2014,525.0,72.0
AT,BE,2015,164.0,78.0
AT,BE,2016,148.0,120.0
AT,BE,2017,731.0,124.0
AT,BE,2018,1608.0,108.0
AT,BE,2019,1451.0,93.0
AT,BE,2020,387.0,113.0
AT,BE,2021,1093.0,123.0
AT,BE,2022,1060.0,250.0
AT,BE,2023,1279.0,107.0
AT,BE,2024,1217.0,286.0
AT,CH,2013,2091.0,-3857.0
AT,CH,2014,1162.0,-1034.0
AT,CH,2015,1486.0,-2895.0
AT,CH,2016,1367.0,769.0
AT,CH,2017,1480.0,-2581.0
AT,CH,2018,1363.0,210.0
AT,CH,2019,1068.0,800.0
AT,CH,2020,1170.0,810.0
AT,CH,2021,1367.0,1348.0
AT,CH,2022,,938.0
AT,CH,2023,,21.0
AT,CH,2024,2360.0,1142.0
AT,CY,2013,37.0,483.0
AT,CY,2014,71.0,124.0
AT,CY,2015,156.0,8.0
AT,CY,2016,108.0,634.0
AT,CY,2017,218.0,124.0
AT,CY,2018,,167.0
AT,CY,2019,89.0,50.0
AT,CY,2020,61.0,99.0
AT,CY,2021,116.0,88.0
AT,CY,2022,159.0,116.0
AT,CY,2023,170.0,47.0
AT,CY,2024,182.0,219.0
AT,CZ,2013,138.0,1507.0
AT,CZ,2014,155.0,1589.0
AT,CZ,2015,81.0,1672.0
AT,CZ,2016,83.0,1555.0
AT,CZ,2017,110.0,1713.0
AT,CZ,2018,106.0,1770.0
AT,CZ,2019,174.0,1979.0
AT,CZ,2020,195.0,1392.0
AT,CZ,2021,310.0,
AT,CZ,2022,,2631.0
AT,CZ,2023,605.0,2129.0
AT,CZ,2024,463.0,2315.0
AT,DE,2013,2989.0,1164.0
AT,DE,2014,4522.0,1206.0
AT,DE,2015,3541.0,1123.0
AT,DE,2016,4274.0,1231.0
AT,DE,2017,4516.0,2556.0
AT,DE,2018,5238.0,2209.0
AT,DE,2019,7533.0,1386.0
AT,DE,2020,6960.0,1556.0
AT,DE,2023,13166.0,5198.0
AT,DE,2024,,2400.0
AT,DK,2013,125.0,9.0
AT,DK,2014,10.0,11.0
AT,DK,2015,,5.0
AT,DK,2016,48.0,20.0
AT,DK,2017,42.0,10.0
AT,DK,2018,41.0,15.0
AT,DK,2019,,33.0
AT,DK,2020,,3.0
AT,DK,2021,11.0,34.0
AT,DK,2022,63.0,50.0
AT,DK,2023,81.0,50.0
AT,DK,2024,53.0,67.0
AT,ES,2013,565.0,124.0
AT,ES,2014,,93.0
AT,ES,2015,1084.0,142.0
AT,ES,2016,,222.0
AT,ES,2017,,147.0
AT,ES,2018,,254.0
AT,ES,2019,688.0,
AT,ES,2020,153.0,256.0
AT,ES,2021,144.0,
AT,ES,2022,206.0,194.0
AT,ES,2023,206.0,531.0
AT,ES,2024,691.0,210.0
AT,FI,2013,146.0,-44.0
AT,FI,2014,8.0,13.0
AT,FI,2015,,24.0
AT,FI,2016,1.0,49.0
AT,FI,2017,,69.0
AT,FI,2018,,117.0
AT,FI,2019,22.0,305.0
AT,FI,2020,22.0,56.0
AT,FI,2021,39.0,83.0
AT,FI,2022,409.0,169.0
AT,FI,2023,184.0,69.0
AT,FI,2024,209.0,97.0
AT,FR,2013,1047.0,-228.0
AT,FR,2014,260.0,101.0
AT,FR,2015,283.0,188.0
AT,FR,2016,,97.0
AT,FR,2017,,-102.0
AT,FR,2018,,113.0
AT,FR,2019,356.0,67.0
AT,FR,2020,355.0,150.0
AT,FR,2021,318.0,231.0
AT,FR,2023,,793.0
AT,FR,2024,1628.0,351.0
AT,HU,2013,137.0,341.0
AT,HU,2014,133.0,-303.0
AT,HU,2015,79.0,1015.0
AT,HU,2016,102.0,618.0
AT,HU,2017,148.0,935.0
AT,HU,2018,142.0,982.0
AT,HU,2019,104.0,913.0
AT,HU,2020,197.0,798.0
AT,HU,2021,357.0,1042.0
AT,HU,2022,640.0,1193.0
AT,HU,2023,622.0,1219.0
AT,HU,2024,671.0,1092.0
AT,IE,2013,438.0,
AT,IE,2014,1054.0,
AT,IE,2015,,30.0
AT,IE,2016,,25.0
AT,IE,2017,528.0,25.0
AT,IE,2018,,-5.0
AT,IE,2019,840.0,-3.0
AT,IE,2020,1006.0,-21.0
AT,IE,2021,990.0,-33.0
AT,IE,2022,1821.0,3.0
AT,IE,2023,,-1.0
AT,IE,2024,1658.0,20.0
AT,IT,2013,1033.0,-975.0
AT,IT,2014,990.0,-257.0
AT,IT,2015,679.0,59.0
AT,IT,2016,628.0,72.0
AT,IT,2017,620.0,13.0
AT,IT,2018,819.0,-108.0
AT,IT,2019,892.0,-23.0
AT,IT,2020,,-173.0
AT,IT,2021,1112.0,
AT,IT,2022,1157.0,191.0
AT,IT,2023,,214.0
AT,IT,2024,1391.0,535.0
AT,LI,2013,0.0,44.0
AT,LI,2014,1.0,45.0
AT,LI,2015,4.0,52.0
AT,LI,2016,36.0,310.0
AT,LI,2017,3.0,17.0
AT,LI,2018,19.0,42.0
AT,LI,2019,19.0,18.0
AT,LI,2020,33.0,1.0
AT,LI,2021,3.0,34.0
AT,LI,2022,25.0,25.0
AT,LI,2023,27.0,-6.0
AT,LI,2024,26.0,58.0
AT,LU,2013,,582.0
AT,LU,2014,79.0,-15.0
AT,LU,2015,93.0,-421.0
AT,LU,2016,621.0,668.0
AT,LU,2017,75.0,-267.0
AT,LU,2018,74.0,-856.0
AT,LU,2019,239.0,207.0
AT,LU,2020,436.0,573.0
AT,LU,2021,462.0,326.0
AT,LU,2022,1317.0,269.0
AT,LU,2023,,-30.0
AT,LU,2024,,855.0
AT,NL,2013,1304.0,57.0
AT,NL,2014,824.0,1187.0
AT,NL,2015,,-5696.0
AT,NL,2016,,509.0
AT,NL,2017,,94.0
AT,NL,2018,3917.0,135.0
AT,NL,2019,9260.0,702.0
AT,NL,2020,2947.0,
AT,NL,2021,2013.0,
AT,NL,2022,3524.0,
AT,NL,2023,3964.0,
AT,NL,2024,4181.0,
AT,NO,2013,12.0,-94.0
AT,NO,2014,12.0,5.0
AT,NO,2015,9.0,-197.0
AT,NO,2016,16.0,18.0
AT,NO,2017,,17.0
AT,NO,2018,16.0,218.0
AT,NO,2019,12.0,78.0
AT,NO,2020,14.0,20.0
AT,NO,2021,2.0,641.0
AT,NO,2022,26.0,864.0
AT,NO,2023,42.0,296.0
AT,NO,2024,34.0,33.0
AT,PL,2013,355.0,446.0
AT,PL,2014,351.0,286.0
AT,PL,2015,310.0,430.0
AT,PL,2016,320.0,303.0
AT,PL,2017,274.0,410.0
AT,PL,2018,304.0,355.0
AT,PL,2019,303.0,306.0
AT,PL,2020,261.0,312.0
AT,PL,2021,412.0,863.0
AT,PL,2022,799.0,433.0
AT,PL,2023,952.0,168.0
AT,PL,2024,839.0,962.0
AT,SE,2013,38.0,103.0
AT,SE,2014,34.0,135.0
AT,SE,2015,28.0,130.0
AT,SE,2016,41.0,147.0
AT,SE,2017,106.0,199.0
AT,SE,2018,130.0,95.0
AT,SE,2019,80.0,102.0
AT,SE,2020,,117.0
AT,SE,2021,99.0,196.0
AT,SE,2022,400.0,262.0
AT,SE,2023,356.0,177.0
AT,SE,2024,449.0,231.0
AT,SI,2013,79.0,-158.0
AT,SI,2014,232.0,-365.0
AT,SI,2015,224.0,258.0
AT,SI,2016,292.0,277.0
AT,SI,2017,354.0,357.0
AT,SI,2018,340.0,346.0
AT,SI,2019,331.0,323.0
AT,SI,2020,270.0,249.0
AT,SI,2021,130.0,431.0
AT,SI,2022,204.0,326.0
AT,SI,2023,326.0,320.0
AT,SI,2024,359.0,423.0
AT,SK,2013,99.0,522.0
AT,SK,2014,129.0,580.0
AT,SK,2015,94.0,578.0
AT,SK,2016,78.0,683.0
AT,SK,2017,432.0,617.0
AT,SK,2018,36.0,620.0
AT,SK,2019,41.0,656.0
AT,SK,2020,51.0,471.0
AT,SK,2021,65.0,763.0
AT,SK,2022,362.0,772.0
AT,SK,2023,308.0,809.0
AT,SK,2024,82.0,765.0
AT,UK,2013,1376.0,52.0
AT,UK,2014,1391.0,40.0
AT,UK,2015,1227.0,87.0
AT,UK,2016,2130.0,-65.0
AT,UK,2017,1530.0,666.0
AT,UK,2018,1550.0,11.0
AT,UK,2019,601.0,431.0
