partner,geo,year,age,value
AT,BE,2011,UNK,0.0
AT,BE,2011,Y10-14,15.0
AT,BE,2011,Y15-19,17.0
AT,BE,2011,Y15-64,279.0
AT,BE,2011,Y20-24,54.0
AT,BE,2011,Y25-29,87.0
AT,BE,2011,Y30-34,39.0
AT,BE,2011,Y35-39,28.0
AT,BE,2011,Y40-44,22.0
AT,BE,2011,Y45-49,16.0
AT,BE,2011,Y5-9,14.0
AT,BE,2011,Y50-54,9.0
AT,BE,2011,Y55-59,4.0
AT,BE,2011,Y60-64,3.0
AT,BE,2011,Y65-69,1.0
AT,BE,2011,Y70-74,0.0
AT,BE,2011,Y75-79,0.0
AT,BE,2011,Y80-84,0.0
AT,BE,2011,Y_GE65,1.0
AT,BE,2011,Y_GE85,0.0
AT,BE,2011,Y_LT15,57.0
AT,BE,2011,Y_LT5,28.0
AT,BE,2012,UNK,0.0
AT,BE,2012,Y10-14,9.0
AT,BE,2012,Y15-19,17.0
AT,BE,2012,Y15-64,272.0
AT,BE,2012,Y20-24,48.0
AT,BE,2012,Y25-29,68.0
AT,BE,2012,Y30-34,47.0
AT,BE,2012,Y35-39,30.0
AT,BE,2012,Y40-44,25.0
AT,BE,2012,Y45-49,18.0
AT,BE,2012,Y5-9,15.0
AT,BE,2012,Y50-54,8.0
AT,BE,2012,Y55-59,8.0
AT,BE,2012,Y60-64,3.0
AT,BE,2012,Y65-69,5.0
AT,BE,2012,Y70-74,0.0
AT,BE,2012,Y75-79,0.0
AT,BE,2012,Y80-84,0.0
AT,BE,2012,Y_GE65,5.0
AT,BE,2012,Y_GE85,0.0
AT,BE,2012,Y_LT15,54.0
AT,BE,2012,Y_LT5,30.0
AT,BE,2013,Y10-14,10.0
AT,BE,2013,Y15-19,24.0
AT,BE,2013,Y15-64,252.0
AT,BE,2013,Y20-24,38.0
AT,BE,2013,Y25-29,58.0
AT,BE,2013,Y30-34,43.0
AT,BE,2013,Y35-39,27.0
AT,BE,2013,Y40-44,29.0
AT,BE,2013,Y45-49,13.0
AT,BE,2013,Y5-9,17.0
AT,BE,2013,Y50-54,11.0
AT,BE,2013,Y55-59,8.0
AT,BE,2013,Y60-64,1.0
AT,BE,2013,Y65-69,4.0
AT,BE,2013,Y70-74,1.0
AT,BE,2013,Y75-79,1.0
AT,BE,2013,Y80-84,0.0
AT,BE,2013,Y85-89,0.0
AT,BE,2013,Y90-94,1.0
AT,BE,2013,Y95-99,0.0
AT,BE,2013,Y_GE100,0.0
AT,BE,2013,Y_GE65,7.0
AT,BE,2013,Y_GE85,1.0
AT,BE,2013,Y_LT15,61.0
AT,BE,2013,Y_LT5,34.0
