partner,geo,year,net_value
AT,BE,2010,373.0
AT,BE,2011,76.0
AT,BE,2012,66.0
AT,BE,2013,320.0
AT,BE,2014,-2.0
AT,BE,2015,39.0
AT,BE,2016,10.0
AT,BE,2017,-56.0
AT,BE,2018,29.0
AT,BE,2019,27.0
AT,BE,2022,19.0
AT,BE,2023,118.0
AT,BG,2007,-1439.0
AT,BG,2012,-2090.0
AT,BG,2013,67.0
AT,BG,2014,-3658.0
AT,BG,2015,-3609.0
AT,BG,2016,-3299.0
AT,BG,2017,-3249.0
AT,BG,2018,-3326.0
AT,BG,2019,-3621.0
AT,BG,2020,-2472.0
AT,BG,2021,-2492.0
AT,BG,2022,-3100.0
AT,BG,2023,-2811.0
AT,CH,2011,2061.0
AT,CH,2012,2139.0
AT,CH,2013,3170.0
AT,CH,2014,2278.0
AT,CH,2015,2358.0
AT,CH,2016,2153.0
AT,CH,2017,2137.0
AT,CH,2018,2048.0
AT,CH,2019,2151.0
AT,CH,2020,1975.0
AT,CZ,2002,-786.0
AT,CZ,2003,-877.0
AT,CZ,2004,-1026.0
AT,CZ,2005,-978.0
AT,CZ,2006,-1183.0
AT,CZ,2007,-636.0
AT,CZ,2021,-777.0
AT,CZ,2022,-817.0
AT,CZ,2023,-978.0
AT,DE,1998,3515.0
AT,DE,1999,4050.0
AT,DE,2000,4180.0
AT,DE,2001,10.0
AT,DE,2002,4708.0
AT,DE,2004,-1676.0
AT,DE,2005,-3088.0
AT,DE,2006,-3366.0
AT,DE,2007,-1165.0
AT,DE,2008,-1083.0
AT,DE,2014,-2443.0
AT,DE,2015,-1867.0
AT,DE,2016,-1627.0
AT,DE,2017,-2644.0
AT,DE,2018,-3907.0
AT,DE,2019,-5923.0
AT,DE,2020,-6900.0
AT,DE,2021,-8296.0
AT,DE,2022,-9637.0
AT,DE,2023,-7859.0
AT,DK,1998,68.0
AT,DK,1999,53.0
AT,DK,2000,16.0
AT,DK,2001,150.0
AT,DK,2002,146.0
AT,DK,2003,66.0
AT,DK,2004,61.0
AT,DK,2005,38.0
AT,DK,2006,162.0
AT,DK,2007,263.0
AT,DK,2008,113.0
AT,DK,2009,228.0
AT,DK,2010,241.0
AT,DK,2011,101.0
AT,DK,2012,71.0
AT,DK,2013,222.0
AT,DK,2014,105.0
AT,DK,2015,79.0
AT,DK,2016,72.0
AT,DK,2017,120.0
AT,DK,2018,104.0
AT,DK,2019,151.0
AT,DK,2020,145.0
AT,DK,2021,109.0
AT,EE,2004,-56.0
AT,EE,2005,-41.0
AT,EE,2006,-33.0
AT,EE,2007,-12.0
AT,EE,2008,-23.0
AT,EE,2009,19.0
AT,EE,2010,17.0
AT,EE,2011,-54.0
AT,EE,2012,-51.0
AT,EE,2013,15.0
AT,EE,2014,-77.0
AT,EE,2015,-33.0
AT,EE,2016,-20.0
AT,EE,2017,-17.0
AT,EE,2018,34.0
AT,EE,2019,-15.0
AT,EE,2020,-6.0
AT,EE,2021,15.0
AT,EE,2022,-12.0
AT,EE,2023,-34.0
AT,ES,1998,-294.0
AT,ES,1999,-265.0
AT,ES,2000,-362.0
AT,ES,2001,-460.0
AT,ES,2002,57.0
AT,ES,2004,-21.0
AT,ES,2005,139.0
AT,ES,2006,304.0
AT,ES,2007,553.0
AT,FI,1998,-251.0
AT,FI,1999,-208.0
AT,FI,2000,-182.0
AT,FI,2001,-127.0
AT,FI,2002,-121.0
AT,FI,2003,-145.0
AT,FI,2004,-177.0
AT,FI,2005,-140.0
AT,FI,2006,-170.0
AT,FI,2007,25.0
AT,FI,2008,-5.0
AT,FI,2009,73.0
AT,FI,2010,85.0
AT,FI,2011,-18.0
AT,FI,2012,-96.0
AT,FI,2013,83.0
AT,FI,2014,-151.0
AT,FI,2015,-77.0
AT,FI,2016,-53.0
AT,FI,2017,-92.0
AT,FI,2018,-67.0
AT,FI,2019,-39.0
AT,FI,2020,-22.0
AT,FI,2021,5.0
AT,FI,2022,15.0
AT,FI,2023,-41.0
AT,FR,2013,977.0
AT,FR,2014,107.0
AT,FR,2015,130.0
AT,FR,2016,246.0
AT,FR,2017,-10.0
AT,FR,2018,90.0
AT,FR,2019,-124.0
AT,FR,2020,-192.0
AT,FR,2021,213.0
AT,FR,2022,153.0
AT,FR,2023,-94.0
AT,HR,1999,-3359.0
AT,HR,2001,-5034.0
AT,HR,2002,-2884.0
AT,HR,2003,-2654.0
AT,HR,2004,-2760.0
AT,HR,2006,-2010.0
AT,HR,2007,-767.0
AT,HR,2008,-633.0
AT,HR,2009,303.0
AT,HR,2010,215.0
AT,HR,2011,-834.0
AT,HR,2012,-879.0
AT,HR,2013,208.0
